City,Month,t2m_24_1,t2m_24_5,t2m_24_10,t2m_24_90,t2m_24_95,t2m_24_99
FortGreely,1,271.02081501416,267.327679643412,264.52602432902,238.420751443156,235.555846860301,231.53120301581
FortGreely,2,273.927874803019,271.047340501668,268.066301163086,243.438719484334,240.292311194682,236.294580754016
FortGreely,3,275.482363391447,272.978298795085,271.136770930827,250.384029834574,247.310856602336,242.9179525146
FortGreely,4,279.492030864014,277.523156727905,276.25392523173,263.18016606547,260.29056285258,255.498354917674
FortGreely,5,287.884862183488,285.040495815552,283.929438422201,274.477008683024,272.86831928182,268.541437314827
FortGreely,6,293.51993796639,291.152862195435,289.645615299072,281.495657253011,280.670182574666,278.644402375448
FortGreely,7,293.448300379378,291.887019302205,290.990276656942,283.925896278158,282.792358139608,280.448774171403
FortGreely,8,291.38670846005,289.732433274048,288.792519949829,280.871640801595,279.256687008545,276.167544410921
FortGreely,9,287.48035988033,285.092795065714,283.688488907471,272.526283371582,270.644532875366,267.901333115885
FortGreely,10,280.80823323182,277.577575127482,275.541237726807,260.501067452362,257.507725945597,252.459497105609
FortGreely,11,274.989548715861,271.425009821167,269.093534088949,246.459149859314,243.790355635986,239.622317376465
FortGreely,12,271.102654937858,267.487795648926,265.140455056722,239.916184340637,236.799490040365,231.89198356495
