Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,5.11890133959119e-05,1,1.81380697114564e-07,4.48274524662987e-18,2.61261128028015e-10,0.0267124952615713,0.103589077394319,0.234576706141667
2,3.4629520987963e-42,1,0.110211841863882,3.72797966888282e-07,3.63697944328772e-05,3.59899793221104e-32,5.49071406613061e-41,7.98452890653162e-49
3,2.03385751756969e-25,1,7.41244422957852e-07,0.00408688260582465,4.45466013607949e-09,4.23110300782975e-13,2.6248584768769e-21,2.49936566979848e-27
4,7.10762311582076e-27,1,NaN,0.0103833789002015,0.418923369505253,8.90244314892457e-15,1.64889825339635e-20,1.68565578062934e-28
5,2.90425941569435e-32,1,1.15930443623784e-05,4.19137183486664e-11,1.24774176950008e-06,7.94474224983959e-33,1.34920790217544e-29,4.1722046087785e-50
6,4.04082215659753e-29,1,0.266039666667174,0.000171677740409424,4.19179211019672e-11,5.66525608466303e-37,2.35725124306959e-39,2.43392051331687e-34
7,2.80676990447746e-84,1,0.10813530190259,0.798132467478075,0.0542774227593487,5.33143022272767e-66,9.76482567410156e-84,4.09353745346051e-105
8,4.81730459104329e-92,1,0.0793278664296669,0.426152944878739,2.49028605786847e-11,3.15538968007459e-94,2.82600663139278e-89,1.16230457645181e-96
9,1.16156928155394e-12,1,9.7823997759614e-06,0.543983002260497,0.11710798135175,2.07743684680166e-06,0.200835852097919,0.466299136186651
10,4.76736558204312e-30,1,NaN,4.51231201493689e-06,6.9810523748716e-22,2.046945496315e-22,3.61934720500656e-18,9.02228343897086e-14
11,2.13427528178406e-64,1,4.53909749298176e-08,0.0549052598396153,0.0288947956189916,8.30524251191473e-80,5.15645906722589e-65,4.90885205899778e-55
12,9.76015219649765e-05,1,0.185233687455554,5.51519208336427e-08,0.30904788052601,0.706093019574508,0.0248210281317772,0.000856363775624596
