Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.0195520680826713,1,0.0201117333564978,2.55738294577476e-15,1.08024071051019e-07,0.049978847849343,0.0926602866227438,0.227370881090582
2,1.66524379816222e-35,1,0.490093333956316,0.0307459142545206,0.000996123033762076,6.91354133324017e-29,2.49839020619104e-31,6.22583771696396e-36
3,5.68310413537852e-18,1,0.0458063395222894,0.061865223966648,0.0474679825131085,3.41965525929059e-17,1.44969734825103e-19,3.77657545175955e-23
4,2.43674605666867e-20,1,0.532047863411708,0.040208461773267,0.00347961459913539,5.69099461681043e-14,2.58404604810094e-14,1.23374863259138e-15
5,1.15190939831314e-20,1,0.682657163992174,0.00919692614012898,0.135869131945996,3.61115855496396e-06,2.28734684108592e-11,5.93517888988796e-20
6,9.70762214544258e-16,1,0.852641472352441,0.697018889131996,0.0316256928402056,1.91241823659456e-10,6.7937110883433e-14,6.67765285351236e-14
7,2.59456811891851e-39,1,0.90835153664317,0.248917099237359,0.223368459659784,1.25855302287404e-13,1.73686213622586e-24,7.65066106187938e-38
8,2.26058433391633e-20,1,0.0639492847848333,0.000228116035388765,2.70828708771337e-09,1.47981457779018e-21,4.33739245924228e-26,5.85901765477915e-30
9,0.0241583112433843,1,0.739144235623227,0.502369959253347,0.318642880114901,0.859503768201189,0.944161895917898,0.127278845286174
10,4.79575041727942e-10,1,0.101803796563915,0.267416079261871,0.443665510882455,4.90952045701783e-13,9.84230192416991e-10,9.39636404754041e-08
11,2.00955687816762e-32,1,0.742793140652631,0.0819599087584219,0.140735242492029,1.66524146662439e-43,1.72398910085737e-37,5.10662074817968e-37
12,2.60122753403501e-05,1,0.06413459474188,0.673271896478907,0.275273961691036,0.00785541205020967,0.00622656165543959,0.001798733330585
