Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.00801136952702373,1,2.98046450768966e-05,1.97529436736224e-14,8.12093293278871e-08,0.0449793198047073,0.0974203395520408,0.224191785006734
2,1.19756778158603e-35,1,0.390317292246743,0.0017390474906912,0.000728414605180337,6.34069669758489e-30,3.69629680446901e-33,1.80395770732441e-38
3,2.74037706456312e-18,1,0.177564839158456,0.0234596727897173,0.101647482545209,4.47071104779238e-18,8.14148552034643e-21,1.30161947168048e-24
4,2.74027556925749e-22,1,0.0309227560701179,0.243639184835338,0.0010197616388583,3.26919949910801e-17,7.31034566098205e-17,6.5004197053794e-18
5,1.10353559830736e-21,1,0.886594579660229,0.229330310701373,0.0690216445815056,2.37585434954927e-08,2.16720152266393e-14,2.44587148205592e-23
6,1.86847066408245e-14,1,0.597999471451421,0.620455740365052,0.0555964999215448,1.07629185908073e-11,6.63190235342414e-15,1.46854039454308e-15
7,1.73035941210748e-38,1,0.48700516932558,0.364528689212839,0.640065456087051,9.17313717371816e-17,9.60883165920904e-29,4.27721228842004e-43
8,8.47613620779798e-27,1,0.0799292386689395,0.00413278224713374,1.41126381710699e-09,1.32838713515389e-28,2.68052068404115e-32,3.88690331931478e-36
9,0.0158950325136669,1,0.736476687771475,0.57672046645165,0.134491167186824,0.791288584586745,0.700792184870313,0.0939353611589555
10,7.93182911765399e-10,1,0.0484968436060066,0.0656719849589437,0.0230613813213708,9.33498381110666e-14,1.12805950447693e-10,6.61155171827973e-08
11,1.04208818449252e-38,1,0.988875389031706,0.0266044838204642,0.0996755373665499,2.3576321299443e-48,1.25614835045126e-41,3.11034895642591e-40
12,6.98026028938514e-06,1,0.927657494304133,0.507788522282649,0.0345217254194265,0.00649190087817593,0.0128676377899758,0.00142057117612543
