Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.00113323224666537,1,0.683425087771181,1.97517964252813e-10,1.6988926531623e-05,0.478019232718385,0.21138138316044,0.0409933233160787
2,1.83098392514169e-36,1,0.00322977391490982,2.21386198667291e-09,1.9052028834131e-17,3.61608834523343e-33,3.22760803489085e-34,1.41742685844752e-54
3,1.99746361461821e-28,1,0.32227357429172,1.01209719223323e-06,6.80094633020437e-11,1.43203312391931e-20,1.8142673734997e-17,1.96870471692688e-20
4,1.70220385457323e-07,1,NaN,5.79597301239034e-06,1.09509821615925e-16,0.195622928983385,0.00569539627424935,4.49396596673373e-05
5,3.50399970911545e-13,1,0.876919192201191,0.550764620678974,3.82177089458537e-06,1.39265323955452e-22,6.02070791591409e-18,2.03860615501642e-13
6,3.13103171196054e-89,1,0.058975088502382,0.00069019356483525,0.0641333372490436,5.68598027429474e-95,1.85611350430802e-91,9.68160758542334e-106
7,8.95115095389964e-141,1,0.0879957391503728,0.13098373198838,0.328860837475071,7.37617502226319e-106,6.16161000381866e-142,3.94474274917148e-172
8,4.67193240176216e-173,1,0.94948874184207,1.20199797000878e-06,1.31325300543512e-16,4.08669443073651e-192,3.85859973419245e-227,2.31866246727543e-259
9,3.6462328035271e-66,1,0.659653413597832,1.33207910175185e-17,7.31829455285638e-14,7.63987575708186e-47,2.0613751121646e-58,2.35401734101497e-70
10,5.39879297446162e-10,1,0.758805486991369,0.0535706038171064,0.55093140972141,0.567217183960424,0.0709532264545099,7.49895186335704e-06
11,2.21132806769433e-11,1,0.813731657394885,0.15844836089272,0.538107779919068,8.4276266197269e-10,1.36208474936486e-09,2.84593721409285e-05
12,2.73862329772627e-37,1,0.157114512936779,0.976684965526863,0.11380777832346,2.26978653073104e-48,1.39959055233506e-44,3.01523847900972e-28
