Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.00129984132217086,1,0.914005265330875,1.84886545789788e-08,7.94417662798474e-05,0.305897632807506,0.23533982950704,0.0510039755449831
2,2.1572637874548e-36,1,0.0181907662902214,6.04543214332147e-10,1.05884543375305e-15,8.96715892093596e-33,3.12680905905614e-34,1.36372470993262e-54
3,6.74004194820565e-31,1,0.0589723451044059,0.000139490350397202,5.66838074793996e-14,2.81183299826825e-23,1.16749880000971e-18,5.99360498452938e-22
4,5.39147695147055e-08,1,NaN,1.9106880232302e-05,5.16199035708201e-21,0.270707245383694,0.00633572704719041,4.55754622234421e-05
5,5.12982710221312e-13,1,0.35137632180972,0.74700422579506,2.29949486457415e-06,5.47601859193507e-22,5.27794850809111e-18,2.34744310777492e-13
6,7.00399369063244e-89,1,0.0257297511923223,0.000733829129090264,0.0328310754275888,2.46349038101774e-95,4.75029548568725e-92,9.31866887159005e-108
7,3.027894072752e-144,1,0.0859874546568835,0.192659026248027,0.120110422513951,7.95479271322459e-110,2.87963997332141e-144,1.45361343008799e-174
8,1.96283982069954e-176,1,0.627571753799683,2.18073813025979e-06,9.86296788906464e-18,6.24429153946131e-196,9.1492842527487e-233,4.2288648511285e-265
9,1.13963532745185e-67,1,0.592983970589131,4.84544505671809e-18,1.68300644011336e-16,3.14129228060123e-47,8.35276058673695e-59,1.63773204102449e-70
10,1.27618688148583e-10,1,0.717077673941594,0.00690547171583962,0.50580761089968,0.727363186645562,0.0543331861895919,3.6936597262694e-06
11,1.52712927074817e-11,1,0.696736979083524,0.386065180906456,0.413790687926503,3.88391117893269e-10,2.7050777661054e-10,2.65976511457571e-05
12,3.29725306166122e-37,1,0.0798321490340005,0.430004861743786,0.17479070987795,1.05392926842224e-48,5.33630261490428e-45,4.10136569120552e-28
