Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.00167101138278902,1,0.0189857185547186,4.13921623184779e-10,0.00963399522272567,0.348948593906243,8.4740668850912e-09,0.0861214830677962
2,6.08540543243278e-48,1,0.100760303990429,2.78685174879506e-14,1.03509706820646e-18,7.01309416184499e-10,NaN,NaN
3,2.05178446390626e-77,1,0.00407453916743064,0.0225481082453927,2.18125174967249e-12,0.0262978268404578,1.99824194209867e-10,NaN
4,2.95243833838486e-06,1,NaN,2.95527962339805e-16,1.1904509083371e-25,0.329863952336179,0.381579787393376,7.89097575324753e-12
5,3.26994153338322e-16,1,3.67421968359583e-10,2.67066708598986e-06,0.71798252321692,0.000233927640018368,0.00263975283554521,0.00102711108830201
6,3.44795261037294e-122,1,9.53156537740359e-08,0.0832417437254926,0.0315043480324085,0.464131280437369,8.00365674077253e-10,NaN
7,6.2770867856237e-199,1,0.708203925079964,0.171983458075315,0.313513351873963,NaN,NaN,NaN
8,3.13821915271913e-255,1,0.280473036677513,2.53360349258393e-05,7.74651207559662e-15,NaN,NaN,NaN
9,7.02411513846316e-105,1,0.22547759593386,9.08197575609228e-07,6.82315693653981e-40,0.726154682177616,4.42439559469663e-05,NaN
10,5.6602594584833e-21,1,5.53464023365385e-08,3.23894768096772e-18,1.09292233187778e-08,0.000531383177619452,5.87968550428332e-13,NaN
11,9.41802314795277e-09,1,5.04330789395911e-09,0.67302708629574,0.00140956477632592,4.04245628389072e-12,1.88576382798309e-11,NaN
12,5.33597069779713e-49,1,0.302662006610838,1.9737545885771e-08,0.0153905220574918,8.67776550864505e-22,NaN,NaN
