Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,0.000867415923388067,1,0.109463809902319,0.0582092583966905,0.00201527694714684,0.829201154574104,0.20363426498695,0.00469789407149084
2,0.29791462508698,0,0.384215872882701,0.00189754528205385,0.399493881523276,0.980251942622281,0.0616940965695289,0.760674594587779
3,4.6353323722646e-20,1,0.00243617341375244,0.0436897537480009,0.261079965197617,0.816379808173327,0.341139520749767,0.862589285252807
4,1.72232410207052e-08,1,0.812865372198552,0.42137676818102,0.81326517587374,0.729312158714798,0.0139466649647052,0.951571382826826
5,1.11971842976162e-05,1,0.307692986094822,0.0117363279129003,0.502181102235084,0.583878699695901,0.044957334114193,0.113963916284937
6,0.00206705774829007,1,4.80528453287804e-07,0.959281589027073,0.0381488225492588,0.0257121573941531,0.380781262455359,0.0211604040042853
7,1.34976735874181e-20,1,0.0210646767958416,0.00111699821912248,4.49363712274269e-10,0.852586829179633,0.123466592941333,0.0119439499043425
8,7.91900748625341e-09,1,0.00245743377018427,0.463900348820345,0.0651167327518593,0.00754028653284887,0.512858006583512,0.0945583831594625
9,0.000576128231006979,1,0.877386373015472,1.64092104313668e-13,1.00457159321348e-13,2.66560674798376e-05,0.0270107714929165,0.763420039027809
10,9.44896946766946e-14,1,0.00568803835999116,2.41271043216606e-05,2.41654646208475e-09,0.794854785572586,0.125784836185395,0.391434273442475
11,1.17682404789504e-11,1,0.311078802143612,0.967476411062628,0.230469275007292,0.086186475732462,0.527096786890162,2.81333717715189e-05
12,9.40531101739581e-39,1,0.309781481854674,0.00706671674310021,8.3998119081214e-05,0.0803485694673359,0.0084064408333713,0.0104197237531597
