City,Month,t2m_6_1,t2m_6_5,t2m_6_10,t2m_6_90,t2m_6_95,t2m_6_99
ChinaLake,1,290.167690688021,287.406435940186,285.730063914063,273.758347230469,272.064493282471,268.512565251025
ChinaLake,2,293.402101146484,290.366940694987,288.417489685872,275.533417703451,273.998780763346,270.787313590495
ChinaLake,3,297.170034500326,293.914777194173,291.942914809245,277.940912381185,276.424402114421,273.972275273177
ChinaLake,4,301.687605331706,298.520483560384,296.557630135091,281.101184567871,279.376552797852,276.720593496582
ChinaLake,5,305.805053002734,302.965576201497,301.190480087728,285.593949436361,283.744177121908,280.889288388932
ChinaLake,6,310.374669665365,307.785014360352,306.01812616862,290.52924648112,288.690076077474,285.628185791341
ChinaLake,7,312.059426807064,309.805696221842,308.440730059896,294.850764581869,293.40914441569,291.046036148633
ChinaLake,8,311.010765096257,308.865062995606,307.515007000814,293.780722149251,292.288630959473,289.690442268913
ChinaLake,9,308.590178902669,306.00912977946,304.448868294271,289.93721833903,288.317870216471,285.440675907552
ChinaLake,10,303.622170813509,300.383320966471,298.477478693197,283.973959072591,282.220446655436,279.087823936751
ChinaLake,11,296.045042629069,293.000937306315,291.037225097656,277.762159958496,276.158616629232,273.54933608252
ChinaLake,12,289.968633088444,287.389800398275,285.826817660645,274.276453375651,272.687108534994,269.476928175
