Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,1.80224845102585e-37,1,0.00247301094876869,6.44802188969218e-13,4.92217149786682e-15,4.00366039110861e-28,1.24399223180337e-32,3.48237315452256e-19
2,7.26119487941816e-05,1,0.00568650621933066,8.73662705569294e-06,5.85149338733289e-21,0.226940817888557,0.837676087447883,0.724158810084988
3,1.53635634918622e-65,1,0.010559922596524,1.0534033965526e-24,1.6436020126789e-35,8.1627079621157e-29,1.32006723381558e-25,3.12895925992944e-35
4,1.98075513440201e-16,1,0.165572792050799,2.9313616078077e-08,6.123953263865e-08,1.52220512206587e-20,6.03144315337784e-17,4.08181648003209e-13
5,1.01462743115416e-24,1,0.252870834706532,2.91290604261018e-16,0.189802106991298,9.32491942763034e-25,8.04483243692056e-33,4.13252422579609e-28
6,6.80779522358058e-18,1,NaN,2.16857972228369e-08,1.82589970742595e-06,2.46738758503102e-06,0.000137130878487706,6.17404411978897e-12
7,9.83076381731192e-175,1,8.29922361872263e-09,0.0470691654220472,9.39632875362029e-14,1.16431025269312e-140,2.87800673629751e-133,8.64448869494605e-130
8,2.3047550480712e-76,1,0.000928513371537652,5.5952213256897e-05,1.87137995267168e-23,5.03336007227049e-62,1.54386148747837e-85,4.27239730291002e-78
9,9.73616516345953e-24,1,0.469957649702028,1.96556656157128e-13,2.6335734666671e-20,0.310062127942509,0.742771852856327,0.0222518302001539
10,6.81839795640578e-53,1,0.536227659578888,3.261151409993e-26,0.00319336406084324,1.13911778370901e-60,6.38181636997052e-46,6.6330692341456e-40
11,9.01998703060503e-68,1,NaN,9.93440316248131e-16,0.00160525408182574,1.02477935891691e-52,3.69470282401705e-90,9.34782913185972e-61
12,4.55885466955799e-115,1,NaN,9.38152657989175e-14,0.0554121116756985,1.23720083419275e-81,1.51708182342122e-86,3.48885785498162e-110
