City,Month,t2m_24_1,t2m_24_5,t2m_24_10,t2m_24_90,t2m_24_95,t2m_24_99
DiegoGarciaIsland,1,301.187432301328,300.589992510148,300.295421179899,298.649018388721,298.461961714083,298.1619813771
DiegoGarciaIsland,2,301.522730304801,300.909263608439,300.608011109212,298.824817138061,298.652948381307,298.397989280127
DiegoGarciaIsland,3,301.693674612297,301.231450955086,300.917079460579,299.202888236532,299.014281705859,298.699769738892
DiegoGarciaIsland,4,301.787721812744,301.304915032796,301.037026852132,299.513525537272,299.331325767049,299.012013450033
DiegoGarciaIsland,5,301.477280348509,301.057642370605,300.766086087541,299.235471932975,299.03609211923,298.642352213021
DiegoGarciaIsland,6,300.898580040112,300.3760922889,300.087529867106,298.624955821737,298.428559960042,297.986263607764
DiegoGarciaIsland,7,300.296302086659,299.813056325456,299.56392652981,298.205718131201,298.018216796663,297.655434757565
DiegoGarciaIsland,8,299.998563993769,299.520425094027,299.333966787077,298.04039430647,297.882117584294,297.627885907111
DiegoGarciaIsland,9,300.315324925806,299.782096782633,299.520226815023,298.132211336263,297.960484779785,297.64334583584
DiegoGarciaIsland,10,300.880752902119,300.254739026383,299.938762519189,298.403568460116,298.235621244116,297.968791331234
DiegoGarciaIsland,11,301.112481700651,300.610847726522,300.265362427002,298.582793448364,298.403973005086,298.071465899145
DiegoGarciaIsland,12,301.008670962899,300.526384844767,300.260606192163,298.717278822673,298.529239628223,298.204164874484
