Month,KS_p,KS_sig,p_1,p_5,p_10,p_90,p_95,p_99
1,6.77742638528818e-77,1,0.00321118153836193,0.0103191262848895,0.000940203487689107,1.14641024523781e-65,2.08077157656826e-75,2.48093013615283e-89
2,3.05632312932924e-08,1,0.467404598361328,8.9003991152492e-34,1.5050752643264e-31,0.0463236027525269,1.64154367752971e-07,0.0133380095039369
3,2.69472161005993e-57,1,0.000419061790734891,3.57218247451999e-08,7.9858667185082e-26,1.09147284985846e-15,9.73100702746006e-31,4.86629690724536e-41
4,6.93071422530685e-104,1,0.10756111134772,0.351151319366182,2.36883271424908e-11,4.92029900915674e-116,7.82080420152595e-141,3.32723143148638e-161
5,4.81014807143842e-236,1,5.50370602107201e-09,0.0243140122780554,0.69246270165312,4.87138695065278e-166,1.74248168368686e-189,4.21763410142326e-205
6,3.16157152940222e-75,1,NaN,2.1594649689432e-08,0.867567442631658,2.58207644746747e-31,9.53599522261214e-37,2.60147841297522e-54
7,0,1,0.362269410489191,0.00406006238039647,0.672792619432788,2.26532101207543e-200,9.00729701447119e-212,2.74839673776767e-250
8,8.25467241806362e-173,1,0.000974569226809587,8.06099433829844e-20,0.0290927839258193,6.21810532568114e-134,6.32345223357895e-156,3.11250390101697e-166
9,0,1,0.000190542668964161,0.0821671960157166,0.844859505397004,0,0,2.20815969810097e-308
10,6.54085916761982e-233,1,9.47203249788445e-08,1.32738335249298e-06,0.00207710077099943,3.2513291730287e-238,1.13046384659195e-265,4.56621556871909e-261
11,4.52258243713957e-115,1,NaN,5.67075191370857e-21,7.77133319774353e-19,1.1119670349371e-96,1.38188208873981e-101,5.54965574087014e-108
12,2.83220398344767e-81,1,NaN,1.56889113231876e-15,1.43015874242526e-37,4.42548135529014e-64,3.65967947014522e-82,5.19100116606923e-92
