year,month,day,hour,t2m
1987,1,1,0,264.1067655859376
1987,1,1,1,264.3042697070313
1987,1,1,2,264.5154852832032
1987,1,1,3,264.7876414257813
1987,1,1,4,265.1583652539063
1987,1,1,5,265.468946015625
1987,1,1,6,265.8149664355469
1987,1,1,7,266.16663472656256
1987,1,1,8,266.4542005078126
1987,1,1,9,266.80654625000005
1987,1,1,10,266.3216211816407
1987,1,1,11,266.6983778613282
1987,1,1,12,266.8851389648438
1987,1,1,13,267.25160728515635
1987,1,1,14,267.5608843359376
1987,1,1,15,267.98077804687506
1987,1,1,16,268.54471144531254
1987,1,1,17,269.0633668164063
1987,1,1,18,269.3778652734375
1987,1,1,19,269.5706946289063
1987,1,1,20,269.6805977148438
1987,1,1,21,269.615412578125
1987,1,1,22,269.65786197265635
1987,1,1,23,270.0042960156251
1987,1,2,0,270.3043870019532
1987,1,2,1,270.57755406250004
1987,1,2,2,270.68451220703133
1987,1,2,3,270.6409925976563
1987,1,2,4,270.32145169921876
1987,1,2,5,270.06127826171877
1987,1,2,6,269.9753495117188
1987,1,2,7,269.71357104492193
1987,1,2,8,269.58029652343754
1987,1,2,9,269.4774189062501
1987,1,2,10,268.6069674023438
1987,1,2,11,268.4895206054688
1987,1,2,12,268.36283731445315
1987,1,2,13,268.2477873828126
1987,1,2,14,268.1060840820313
1987,1,2,15,268.10445952148444
1987,1,2,16,268.116229296875
1987,1,2,17,268.13765375
1987,1,2,18,268.1639502929688
1987,1,2,19,268.30260886718753
1987,1,2,20,268.42917902343754
1987,1,2,21,268.4852671191407
1987,1,2,22,268.61793976562507
1987,1,2,23,268.9254570507813
1987,1,3,0,269.12952585937506
1987,1,3,1,269.26941241210943
1987,1,3,2,269.26294562500004
1987,1,3,3,269.3887055078126
1987,1,3,4,269.5659203320313
1987,1,3,5,269.6807407421876
1987,1,3,6,269.67478117187505
1987,1,3,7,269.77362886718754
1987,1,3,8,269.8288491992188
1987,1,3,9,269.89517308593753
1987,1,3,10,269.6056307031251
1987,1,3,11,269.59555554687506
1987,1,3,12,269.4945107421876
1987,1,3,13,269.41045279296884
1987,1,3,14,269.3699142382813
1987,1,3,15,269.32956210937505
1987,1,3,16,269.28177799804695
1987,1,3,17,269.2496901660157
1987,1,3,18,269.2085046289063
1987,1,3,19,269.14014347656257
1987,1,3,20,269.0799468066407
1987,1,3,21,269.0446331250001
1987,1,3,22,268.67082337890633
1987,1,3,23,268.5649331445313
1987,1,4,0,268.5159104101563
1987,1,4,1,268.4733093750001
1987,1,4,2,268.37914480468754
1987,1,4,3,268.5363369335938
1987,1,4,4,268.4388382714844
1987,1,4,5,268.30949328125007
1987,1,4,6,268.3310610058594
1987,1,4,7,268.3214093359376
1987,1,4,8,268.3224695507813
1987,1,4,9,268.2684333007813
1987,1,4,10,267.81713108398446
1987,1,4,11,267.6707258984375
1987,1,4,12,267.5367596875
1987,1,4,13,267.39374870117194
1987,1,4,14,267.1535645605469
1987,1,4,15,267.0545521289063
1987,1,4,16,266.92868152343755
1987,1,4,17,266.75206791015626
1987,1,4,18,266.51040951171876
1987,1,4,19,266.3303743066407
1987,1,4,20,266.31158333984376
1987,1,4,21,266.1155130566407
1987,1,4,22,265.98164931640633
1987,1,4,23,265.84595103515636
1987,1,5,0,265.7429943750001
1987,1,5,1,265.635711875
1987,1,5,2,265.4905604003907
1987,1,5,3,265.3838300878907
1987,1,5,4,265.14953441406254
1987,1,5,5,264.8739118359376
1987,1,5,6,264.73110816406256
1987,1,5,7,264.5629782812501
1987,1,5,8,264.34777475585946
1987,1,5,9,264.1050299023438
1987,1,5,10,263.97464396484384
1987,1,5,11,263.7446756835938
1987,1,5,12,263.6101917578126
1987,1,5,13,263.5200478125001
1987,1,5,14,263.3877910644532
1987,1,5,15,263.3442651171876
1987,1,5,16,263.35740999023443
1987,1,5,17,263.39028800781256
1987,1,5,18,263.4742839746094
1987,1,5,19,263.53191670898445
1987,1,5,20,263.6092377343751
1987,1,5,21,263.60980644531253
1987,1,5,22,263.63105867187505
1987,1,5,23,263.6528653515626
1987,1,6,0,263.7447164941407
1987,1,6,1,263.80846578125005
1987,1,6,2,263.8967391992188
1987,1,6,3,264.14123347656255
1987,1,6,4,264.2297367382813
1987,1,6,5,264.2718689843751
1987,1,6,6,264.39525894531255
1987,1,6,7,264.5638968164063
1987,1,6,8,264.6713975390626
1987,1,6,9,264.56791119140627
1987,1,6,10,265.11578120117196
1987,1,6,11,265.2812394140626
1987,1,6,12,265.4744570117188
1987,1,6,13,265.7630156250001
1987,1,6,14,266.0194655859376
1987,1,6,15,266.20615884765635
1987,1,6,16,266.60416427734384
1987,1,6,17,266.99954546875006
1987,1,6,18,267.3478160546876
1987,1,6,19,267.8722723632813
1987,1,6,20,268.4546499023438
1987,1,6,21,268.82136593750005
1987,1,6,22,269.2230823632813
1987,1,6,23,269.4893285546876
1987,1,7,0,269.5772944238282
1987,1,7,1,269.393184951172
1987,1,7,2,269.3020306933594
1987,1,7,3,269.0195225195313
1987,1,7,4,268.6105072656251
1987,1,7,5,267.9920110644532
1987,1,7,6,267.46322910156255
1987,1,7,7,267.10819889648445
1987,1,7,8,266.75745111328126
1987,1,7,9,266.4299003125
1987,1,7,10,265.8346434570313
1987,1,7,11,265.6256029980469
1987,1,7,12,265.43263710937504
1987,1,7,13,265.3351237304688
1987,1,7,14,265.5971525195313
1987,1,7,15,265.39181960937503
1987,1,7,16,265.20719562500005
1987,1,7,17,265.07897623046875
1987,1,7,18,264.8916383984375
1987,1,7,19,264.7105150195313
1987,1,7,20,264.4962471875
1987,1,7,21,264.1445196777344
1987,1,7,22,263.88372859375005
1987,1,7,23,263.55002496093755
1987,1,8,0,263.3157495898438
1987,1,8,1,263.08510787109384
1987,1,8,2,262.9278993359375
1987,1,8,3,262.92688660156256
1987,1,8,4,262.83685808593754
1987,1,8,5,262.76735109375
1987,1,8,6,262.7649875
1987,1,8,7,262.66847622070316
1987,1,8,8,262.62649984375
1987,1,8,9,262.45644214843753
1987,1,8,10,262.38165992187504
1987,1,8,11,262.3216821875001
1987,1,8,12,262.175727890625
1987,1,8,13,262.04766453125006
1987,1,8,14,261.80493292968754
1987,1,8,15,261.70454687500006
1987,1,8,16,261.64036724609383
1987,1,8,17,261.4446782031251
1987,1,8,18,261.4441651757813
1987,1,8,19,261.37020493164067
1987,1,8,20,261.39424320312503
1987,1,8,21,261.4283489257813
1987,1,8,22,261.4649782617188
1987,1,8,23,261.4474680761719
1987,1,9,0,261.49221195312504
1987,1,9,1,261.52264469726566
1987,1,9,2,261.4921262304688
1987,1,9,3,261.61493751953134
1987,1,9,4,261.66760331054695
1987,1,9,5,261.73245210937506
1987,1,9,6,261.84469229492197
1987,1,9,7,261.90097386718753
1987,1,9,8,262.02534225585947
1987,1,9,9,262.1631949609376
1987,1,9,10,262.7244513867188
1987,1,9,11,262.8914005078126
1987,1,9,12,263.0524019335938
1987,1,9,13,263.21850724609385
1987,1,9,14,263.43065862304695
1987,1,9,15,263.6642799609376
1987,1,9,16,263.8311287890626
1987,1,9,17,264.10665666992196
1987,1,9,18,264.32641117187507
1987,1,9,19,264.5236220898438
1987,1,9,20,264.64410703125003
1987,1,9,21,264.64675112304695
1987,1,9,22,265.1745625000001
1987,1,9,23,265.16923900390634
1987,1,10,0,265.17572011718755
1987,1,10,1,265.0776613476563
1987,1,10,2,264.97505194335946
1987,1,10,3,264.9347055664063
1987,1,10,4,264.88238064453134
1987,1,10,5,264.78932597656257
1987,1,10,6,264.6914080468751
1987,1,10,7,264.67062527343757
1987,1,10,8,264.6404842382813
1987,1,10,9,264.55942775390633
1987,1,10,10,265.14349498046886
1987,1,10,11,265.1528700390626
1987,1,10,12,265.27613283203135
1987,1,10,13,265.36933220703133
1987,1,10,14,265.34912502929694
1987,1,10,15,265.4580112011719
1987,1,10,16,265.54882050781254
1987,1,10,17,265.61570632812504
1987,1,10,18,265.6870076953126
1987,1,10,19,265.74480245117195
1987,1,10,20,265.7784563281251
1987,1,10,21,265.7953858593751
1987,1,10,22,265.8233567285157
1987,1,10,23,265.8266653222657
1987,1,11,0,265.95621457031257
1987,1,11,1,266.0460654882814
1987,1,11,2,266.1215214550782
1987,1,11,3,266.25679548828134
1987,1,11,4,266.40648651367195
1987,1,11,5,266.48108990234385
1987,1,11,6,266.6086794726563
1987,1,11,7,266.6761313671876
1987,1,11,8,266.7356069531251
1987,1,11,9,266.8217873046876
1987,1,11,10,266.5600329687501
1987,1,11,11,266.7103048144532
1987,1,11,12,266.9042986914063
1987,1,11,13,267.19142983398444
1987,1,11,14,267.4771327343751
1987,1,11,15,267.6011991406251
1987,1,11,16,267.74807666015636
1987,1,11,17,268.10369267578136
1987,1,11,18,268.4681300000001
1987,1,11,19,268.78300069335944
1987,1,11,20,269.2968785644532
1987,1,11,21,269.92984306640636
1987,1,11,22,270.48135770507815
1987,1,11,23,271.02235416015634
1987,1,12,0,271.30466042968754
1987,1,12,1,271.5977804492188
1987,1,12,2,271.6800246289063
1987,1,12,3,271.97834125
1987,1,12,4,272.0876233593751
1987,1,12,5,272.16388102539065
1987,1,12,6,272.41057898437504
1987,1,12,7,272.7227228320313
1987,1,12,8,273.07969267578125
1987,1,12,9,273.22313441406254
1987,1,12,10,273.790663359375
1987,1,12,11,273.9596123730469
1987,1,12,12,273.94859673828125
1987,1,12,13,274.2322213085938
1987,1,12,14,274.5089733691406
1987,1,12,15,274.55363133789064
1987,1,12,16,274.6842845117188
1987,1,12,17,274.92098031250003
1987,1,12,18,274.8900864160156
1987,1,12,19,275.0404163574219
1987,1,12,20,275.2680988085938
1987,1,12,21,275.3033158398438
1987,1,12,22,275.55971867187503
1987,1,12,23,275.7233669140625
1987,1,13,0,275.7683975976563
1987,1,13,1,275.8192501953126
1987,1,13,2,275.818393359375
1987,1,13,3,275.9805313867188
1987,1,13,4,276.01185671875004
1987,1,13,5,275.9352432226563
1987,1,13,6,275.9484338085938
1987,1,13,7,276.04008627929693
1987,1,13,8,276.0760086523438
1987,1,13,9,276.07091512695314
1987,1,13,10,276.52453554687503
1987,1,13,11,276.4431842871094
1987,1,13,12,276.2447965234375
1987,1,13,13,275.99452439453125
1987,1,13,14,275.800717890625
1987,1,13,15,275.6635825292969
1987,1,13,16,275.45671984375
1987,1,13,17,275.2878481054688
1987,1,13,18,275.17944330078126
1987,1,13,19,275.0683366210938
1987,1,13,20,275.0220347363282
1987,1,13,21,274.9650099511719
1987,1,13,22,275.61132302734376
1987,1,13,23,275.63699651367193
1987,1,14,0,275.7340786328125
1987,1,14,1,275.79691836914066
1987,1,14,2,275.86724427734373
