year,month,day,hour,t2m
1967,1,1,0,273.79749609375006
1967,1,1,1,273.77867498046885
1967,1,1,2,273.79826206054696
1967,1,1,3,273.7787286328126
1967,1,1,4,273.6663203320313
1967,1,1,5,273.57859439453136
1967,1,1,6,273.43704398437507
1967,1,1,7,273.33993662109384
1967,1,1,8,273.16756076171885
1967,1,1,9,272.9319485839845
1967,1,1,10,272.97933525390636
1967,1,1,11,272.91088650390634
1967,1,1,12,272.8178670117188
1967,1,1,13,272.51146273437513
1967,1,1,14,272.3229269335938
1967,1,1,15,272.17546943359383
1967,1,1,16,272.07685576171883
1967,1,1,17,271.9840869726563
1967,1,1,18,271.9867683203126
1967,1,1,19,271.9864209179688
1967,1,1,20,271.84695142578136
1967,1,1,21,271.63484435546883
1967,1,1,22,272.3788650976563
1967,1,1,23,272.3314056445313
1967,1,2,0,272.26302528320315
1967,1,2,1,272.1157136132813
1967,1,2,2,272.0110888476563
1967,1,2,3,271.84494539062507
1967,1,2,4,271.7884878320313
1967,1,2,5,271.74432146484384
1967,1,2,6,271.7464105078125
1967,1,2,7,271.7307100488282
1967,1,2,8,271.79033488281254
1967,1,2,9,271.7514209570313
1967,1,2,10,272.42192468750005
1967,1,2,11,272.5429122460938
1967,1,2,12,272.6385848730469
1967,1,2,13,272.6846831542969
1967,1,2,14,272.65767365234376
1967,1,2,15,272.72351363281257
1967,1,2,16,272.7263815039063
1967,1,2,17,272.6602441210938
1967,1,2,18,272.6030276757813
1967,1,2,19,272.5205822460938
1967,1,2,20,272.56400667968757
1967,1,2,21,272.3986584472657
1967,1,2,22,271.9571435742188
1967,1,2,23,271.9140695019532
1967,1,3,0,271.8367582324219
1967,1,3,1,271.70547955078126
1967,1,3,2,271.73939738281257
1967,1,3,3,271.66900527343756
1967,1,3,4,271.48767777343755
1967,1,3,5,271.42253332031254
1967,1,3,6,271.4107544042969
1967,1,3,7,271.41244210937504
1967,1,3,8,271.4708042578126
1967,1,3,9,271.5041863085938
1967,1,3,10,271.7837542773438
1967,1,3,11,272.0110561523438
1967,1,3,12,272.17090460937504
1967,1,3,13,272.25410706054697
1967,1,3,14,272.3890769824219
1967,1,3,15,272.43596334960944
1967,1,3,16,272.37300128906253
1967,1,3,17,272.3017907226563
1967,1,3,18,272.2447684960938
1967,1,3,19,272.0923019726563
1967,1,3,20,271.85320884765633
1967,1,3,21,271.7379240136719
1967,1,3,22,271.766023984375
1967,1,3,23,271.79879046875004
1967,1,4,0,272.09783305664064
1967,1,4,1,272.34987042968754
1967,1,4,2,272.35821492187506
1967,1,4,3,272.24423255859375
1967,1,4,4,272.14726748046877
1967,1,4,5,272.11462160156253
1967,1,4,6,272.1127113378907
1967,1,4,7,272.1263114648438
1967,1,4,8,272.18549429687505
1967,1,4,9,272.28481804687505
1967,1,4,10,272.2118896289063
1967,1,4,11,272.5807299023438
1967,1,4,12,272.7147275976563
1967,1,4,13,272.74016701171877
1967,1,4,14,272.6179040234375
1967,1,4,15,272.23717996093757
1967,1,4,16,272.0893444824219
1967,1,4,17,271.9179045898438
1967,1,4,18,271.90836949218755
1967,1,4,19,271.96180232421875
1967,1,4,20,272.0709841894532
1967,1,4,21,272.10931859375006
1967,1,4,22,272.1930733691407
1967,1,4,23,272.33127851562506
1967,1,5,0,272.36552398437505
1967,1,5,1,272.4131290429688
1967,1,5,2,272.54384417968754
1967,1,5,3,272.30923919921884
1967,1,5,4,272.04720611328133
1967,1,5,5,272.2340499609376
1967,1,5,6,272.2261909570313
1967,1,5,7,272.2661741406251
1967,1,5,8,272.33062360351573
1967,1,5,9,272.4434532812501
1967,1,5,10,272.42216201171885
1967,1,5,11,272.6472918164063
1967,1,5,12,272.92210382812505
1967,1,5,13,272.9309338867188
1967,1,5,14,272.93033
1967,1,5,15,272.92205214843756
1967,1,5,16,272.8563637304688
1967,1,5,17,272.9085619726563
1967,1,5,18,272.90926835937506
1967,1,5,19,272.8273529101563
1967,1,5,20,272.7179331054688
1967,1,5,21,272.6796120312501
1967,1,5,22,272.9617542578126
1967,1,5,23,273.03398687500004
1967,1,6,0,273.06833496093753
1967,1,6,1,273.0772064257813
1967,1,6,2,273.116879296875
1967,1,6,3,273.04715871093754
1967,1,6,4,273.05443546875006
1967,1,6,5,273.02495925781255
1967,1,6,6,272.91086968750005
1967,1,6,7,272.7915456542969
1967,1,6,8,272.74488030273443
1967,1,6,9,272.6493804394532
1967,1,6,10,272.80359691406255
