year,month,day,hour,t2m
1942,1,1,0,298.3794489492187
1942,1,1,1,298.36730665625004
1942,1,1,2,298.685142609375
1942,1,1,3,299.42260209374996
1942,1,1,4,298.92822547265627
1942,1,1,5,298.3396551152344
1942,1,1,6,298.31310419140624
1942,1,1,7,298.632289703125
1942,1,1,8,299.3499676757813
1942,1,1,9,299.2208905449219
1942,1,1,10,298.1759651328125
1942,1,1,11,298.781672953125
1942,1,1,12,299.40814827734374
1942,1,1,13,299.8313683632813
1942,1,1,14,299.7000294707031
1942,1,1,15,298.9437650390625
1942,1,1,16,299.18128768554686
1942,1,1,17,299.348052640625
1942,1,1,18,299.6610894453125
1942,1,1,19,299.843918078125
1942,1,1,20,299.4350335
1942,1,1,21,299.74324814453126
1942,1,1,22,299.77525178320315
1942,1,1,23,298.9101797382812
1942,1,2,0,299.08367591210936
1942,1,2,1,298.739891203125
1942,1,2,2,298.71740909375
1942,1,2,3,299.3933155976562
1942,1,2,4,299.1646194453125
1942,1,2,5,298.7371961328125
1942,1,2,6,298.73751653515626
1942,1,2,7,299.16998161328127
1942,1,2,8,299.15046820507814
1942,1,2,9,298.7816827226562
1942,1,2,10,298.58309899023436
1942,1,2,11,298.57226791796876
1942,1,2,12,298.4847702695312
1942,1,2,13,298.497718625
1942,1,2,14,298.46323424999997
1942,1,2,15,298.4631789296875
1942,1,2,16,298.4480788925781
1942,1,2,17,298.64033063476563
1942,1,2,18,298.63043120507814
1942,1,2,19,298.91441973828125
1942,1,2,20,299.14743522851563
1942,1,2,21,299.073190015625
1942,1,2,22,298.48159527929687
1942,1,2,23,298.4298087382813
1942,1,3,0,298.41257578515626
1942,1,3,1,298.30410611328125
1942,1,3,2,299.00774791796874
1942,1,3,3,299.68791008984374
1942,1,3,4,299.62065957421873
1942,1,3,5,298.9490041015625
1942,1,3,6,298.7231343574219
1942,1,3,7,298.5588289570312
1942,1,3,8,298.4403676894531
1942,1,3,9,298.57954219921874
1942,1,3,10,298.97311303124997
1942,1,3,11,298.82750166796876
1942,1,3,12,299.1374744882812
1942,1,3,13,299.3890928554688
1942,1,3,14,299.67044601953125
1942,1,3,15,299.3914913203125
1942,1,3,16,299.25630791796874
1942,1,3,17,299.1316131621094
1942,1,3,18,299.42018710937504
1942,1,3,19,298.75074933203126
1942,1,3,20,298.57427950585935
1942,1,3,21,298.8353493203125
1942,1,3,22,299.37217625
1942,1,3,23,299.6985990117188
1942,1,4,0,300.001590140625
1942,1,4,1,300.1749715234375
1942,1,4,2,300.2936714765625
1942,1,4,3,300.26646882421875
1942,1,4,4,300.09361493750004
1942,1,4,5,299.615131421875
1942,1,4,6,299.5971898828125
1942,1,4,7,299.58244349609373
1942,1,4,8,299.75499887890624
1942,1,4,9,299.9588925058594
1942,1,4,10,299.351021109375
1942,1,4,11,299.60845528515625
1942,1,4,12,299.7405186484375
1942,1,4,13,299.75025746093746
1942,1,4,14,300.03968107617186
1942,1,4,15,300.1342097109375
1942,1,4,16,300.1573192070312
1942,1,4,17,300.3095790507812
1942,1,4,18,300.26907798437503
1942,1,4,19,300.2066243105469
1942,1,4,20,300.15876788671875
1942,1,4,21,300.1721614414062
1942,1,4,22,300.0723494550781
