year,month,day,hour,t2m
1963,1,1,0,243.85530532714844
1963,1,1,1,244.04818245117187
1963,1,1,2,243.85750836425782
1963,1,1,3,245.01032045410156
1963,1,1,4,245.0021497119141
1963,1,1,5,243.80990133789064
1963,1,1,6,245.18440033203126
1963,1,1,7,244.80273341796877
1963,1,1,8,244.66236704101564
1963,1,1,9,245.5497200341797
1963,1,1,10,242.57348166503908
1963,1,1,11,242.31007770996095
1963,1,1,12,243.20287566894532
1963,1,1,13,243.93429661621093
1963,1,1,14,244.66522738769532
1963,1,1,15,245.30625318847657
1963,1,1,16,245.52421727539064
1963,1,1,17,244.5531146533203
1963,1,1,18,244.5798318359375
1963,1,1,19,244.513826953125
1963,1,1,20,244.91911361328127
1963,1,1,21,244.78915348144534
1963,1,1,22,245.8638867138672
1963,1,1,23,245.65766525878908
1963,1,2,0,245.45540818359376
1963,1,2,1,245.5742179589844
1963,1,2,2,246.24167978515626
1963,1,2,3,246.14569399902345
1963,1,2,4,246.028465234375
1963,1,2,5,246.60575877441408
1963,1,2,6,246.8098544775391
1963,1,2,7,247.01809621093753
1963,1,2,8,247.53183051757816
1963,1,2,9,247.5376446386719
1963,1,2,10,246.63019024414064
1963,1,2,11,246.98409973144533
1963,1,2,12,247.079305078125
1963,1,2,13,246.8820519433594
1963,1,2,14,247.0502753564453
1963,1,2,15,247.63369833984373
1963,1,2,16,247.8064559863281
1963,1,2,17,248.81109124511718
1963,1,2,18,248.7387194042969
1963,1,2,19,248.55633094726562
1963,1,2,20,249.11047356445312
1963,1,2,21,249.28240424316405
1963,1,2,22,250.3848658984375
1963,1,2,23,250.4194261669922
1963,1,3,0,250.46114330078123
1963,1,3,1,250.49752952148438
1963,1,3,2,250.8422151904297
1963,1,3,3,251.17416060058594
1963,1,3,4,251.23691479003907
1963,1,3,5,251.20154203125
1963,1,3,6,251.38307509765627
1963,1,3,7,251.29227240234377
1963,1,3,8,251.39427594726564
1963,1,3,9,250.95713471191408
1963,1,3,10,251.0477662890625
1963,1,3,11,250.2917046777344
1963,1,3,12,250.13027057617188
1963,1,3,13,250.1785394238281
1963,1,3,14,249.89210732421876
1963,1,3,15,250.11964720214846
1963,1,3,16,250.43924454101563
1963,1,3,17,250.30355774902344
1963,1,3,18,250.67211880859375
1963,1,3,19,250.96730040527345
1963,1,3,20,249.76789229980469
1963,1,3,21,249.5046156982422
1963,1,3,22,249.66382085937502
1963,1,3,23,249.32596727050782
1963,1,4,0,248.60667426757811
1963,1,4,1,248.34787103027344
1963,1,4,2,246.82486009277343
1963,1,4,3,246.65887175781253
1963,1,4,4,246.24780057617187
1963,1,4,5,246.0214186279297
1963,1,4,6,245.69788035644532
1963,1,4,7,245.77789962402343
1963,1,4,8,245.402663828125
1963,1,4,9,246.07801260742187
1963,1,4,10,245.4425160107422
1963,1,4,11,245.32433030273435
1963,1,4,12,244.43230192871093
1963,1,4,13,244.24531181640623
1963,1,4,14,243.92345974121093
1963,1,4,15,244.5694187841797
1963,1,4,16,245.10391294433595
1963,1,4,17,245.64574525390626
1963,1,4,18,245.6128965185547
1963,1,4,19,245.39476935058593
1963,1,4,20,245.3710834814453
1963,1,4,21,244.4969721435547
1963,1,4,22,245.31731904785156
1963,1,4,23,245.1723132373047
1963,1,5,0,244.55195509277343
1963,1,5,1,242.6857700439453
1963,1,5,2,242.8137753076172
1963,1,5,3,243.78980840820313
1963,1,5,4,243.9163845263672
1963,1,5,5,241.86470959472658
1963,1,5,6,240.8674419140625
1963,1,5,7,240.61832751464843
1963,1,5,8,240.32091919921876
1963,1,5,9,240.1545682421875
1963,1,5,10,242.46881234375002
1963,1,5,11,242.05834401367187
1963,1,5,12,239.842814375
1963,1,5,13,239.55777814941405
1963,1,5,14,238.11761168945313
1963,1,5,15,237.91209537597658
1963,1,5,16,238.06465097167967
1963,1,5,17,238.29153692871094
1963,1,5,18,238.2563031298828
1963,1,5,19,237.7761754296875
1963,1,5,20,238.76809780761718
1963,1,5,21,238.60447405273436
1963,1,5,22,239.91588713867188
1963,1,5,23,239.7753972265625
1963,1,6,0,239.72125480957033
1963,1,6,1,240.3211362060547
1963,1,6,2,241.3750663427734
1963,1,6,3,242.40897505859374
1963,1,6,4,243.7471554394531
1963,1,6,5,244.80927659179687
1963,1,6,6,245.12503785644532
1963,1,6,7,246.00741910156248
1963,1,6,8,247.25654154785155
1963,1,6,9,247.73476705078124
1963,1,6,10,248.18362991699217
1963,1,6,11,248.8316491064453
1963,1,6,12,248.8563541796875
1963,1,6,13,247.99781221191404
1963,1,6,14,248.01802163574217
1963,1,6,15,248.23206637695313
1963,1,6,16,248.27907436523435
1963,1,6,17,248.9261617480469
1963,1,6,18,248.96659697753907
1963,1,6,19,248.81793901855468
1963,1,6,20,249.08794322753906
1963,1,6,21,249.16000484375
1963,1,6,22,247.88688502441406
1963,1,6,23,247.39168556152345
1963,1,7,0,247.0109725488281
1963,1,7,1,246.8783112597656
1963,1,7,2,245.5880178222656
1963,1,7,3,245.5925878125
1963,1,7,4,245.59972895507812
1963,1,7,5,244.80982197753906
1963,1,7,6,244.4532427832031
1963,1,7,7,244.03699149902343
1963,1,7,8,243.51763069335937
1963,1,7,9,243.1871574169922
1963,1,7,10,241.28655545410155
1963,1,7,11,240.49894451171875
1963,1,7,12,240.3414509765625
1963,1,7,13,239.7378103173828
1963,1,7,14,240.2018537548828
1963,1,7,15,240.94228717285156
1963,1,7,16,241.05147958984375
1963,1,7,17,241.03645903808592
1963,1,7,18,241.27730164062498
1963,1,7,19,241.48474249999998
1963,1,7,20,241.0952915576172
1963,1,7,21,240.83223130371093
1963,1,7,22,240.93768282226563
1963,1,7,23,240.98080830078123
1963,1,8,0,240.8568498388672
1963,1,8,1,240.93118864257812
1963,1,8,2,239.82103516601563
1963,1,8,3,239.69165333984375
1963,1,8,4,239.77277426757811
1963,1,8,5,238.34331975097658
1963,1,8,6,238.35132703125
1963,1,8,7,238.47219005371093
1963,1,8,8,237.72696841308593
1963,1,8,9,237.84493287109376
1963,1,8,10,236.73945618652346
1963,1,8,11,236.7854322949219
1963,1,8,12,236.03551907226563
1963,1,8,13,235.7101082958984
1963,1,8,14,235.60888238281248
1963,1,8,15,235.48225975097657
1963,1,8,16,235.1368600439453
1963,1,8,17,233.37745927246095
1963,1,8,18,232.66241424316405
1963,1,8,19,232.57945151367187
1963,1,8,20,231.47872553222655
1963,1,8,21,231.87054942382812
1963,1,8,22,233.9170367138672
1963,1,8,23,234.07333544433595
1963,1,9,0,234.26413441894533
1963,1,9,1,234.40702278320313
1963,1,9,2,233.22778398925783
1963,1,9,3,233.62259106445313
1963,1,9,4,233.76807377929686
1963,1,9,5,233.04433556640626
1963,1,9,6,233.25276130859376
1963,1,9,7,233.47193310058594
1963,1,9,8,233.45066272460937
1963,1,9,9,233.73930126464845
1963,1,9,10,233.34400722167968
1963,1,9,11,233.7838940185547
1963,1,9,12,233.7479821484375
1963,1,9,13,234.29557530273436
1963,1,9,14,234.63913212402343
1963,1,9,15,236.44957145996094
1963,1,9,16,239.41366049804688
1963,1,9,17,239.59269489257812
1963,1,9,18,240.024432734375
1963,1,9,19,240.45530785644533
1963,1,9,20,241.57601844726562
1963,1,9,21,243.42867553222655
1963,1,9,22,244.02290894042966
1963,1,9,23,244.7202964111328
1963,1,10,0,245.58867721679687
1963,1,10,1,245.13894322265622
1963,1,10,2,245.33923857421874
1963,1,10,3,246.15076932617188
1963,1,10,4,247.39766869628906
1963,1,10,5,248.44588874511717
1963,1,10,6,248.37919996093748
1963,1,10,7,249.67673523437497
1963,1,10,8,250.88109458496092
1963,1,10,9,252.76988265625
1963,1,10,10,251.15272662109373
1963,1,10,11,250.87707232421874
1963,1,10,12,250.53522370117187
1963,1,10,13,251.08133179687496
1963,1,10,14,252.2423736328125
1963,1,10,15,254.16005081054686
1963,1,10,16,255.20866973876952
1963,1,10,17,255.73970512451172
1963,1,10,18,255.90246087158204
1963,1,10,19,256.4727090087891
1963,1,10,20,256.9862485351562
1963,1,10,21,257.04460701171877
1963,1,10,22,258.25097458984374
1963,1,10,23,258.3978135839844
1963,1,11,0,258.31402537109375
1963,1,11,1,258.2248333789062
1963,1,11,2,258.8837965234375
1963,1,11,3,259.10349672851567
1963,1,11,4,259.11670888671875
1963,1,11,5,259.5532948632813
1963,1,11,6,259.67479017578125
1963,1,11,7,259.5114310253906
1963,1,11,8,260.37298585937504
1963,1,11,9,260.3237543847656
1963,1,11,10,260.66731347656247
1963,1,11,11,260.62881654296876
1963,1,11,12,260.7498021875
1963,1,11,13,260.71149519531247
1963,1,11,14,260.9243350390625
1963,1,11,15,261.2559526464844
1963,1,11,16,261.4425572851562
1963,1,11,17,262.104586328125
1963,1,11,18,260.7517599609375
1963,1,11,19,262.4160235546875
1963,1,11,20,263.71648064453126
1963,1,11,21,263.76502763671874
1963,1,11,22,262.0224139746094
1963,1,11,23,262.53853732421874
1963,1,12,0,262.7032875
1963,1,12,1,262.9921826367187
1963,1,12,2,263.68750826171873
1963,1,12,3,263.7308604785156
1963,1,12,4,263.98081173828126
1963,1,12,5,264.4191922265625
1963,1,12,6,264.63087264648436
1963,1,12,7,264.5471610742187
1963,1,12,8,266.75741264648434
1963,1,12,9,266.5195164453125
1963,1,12,10,265.2467651757812
1963,1,12,11,265.399573359375
1963,1,12,12,265.4443485058594
1963,1,12,13,265.6041204492187
1963,1,12,14,266.09752908203126
1963,1,12,15,266.645671328125
1963,1,12,16,266.66547515625
1963,1,12,17,269.7604053515625
1963,1,12,18,269.967788671875
1963,1,12,19,270.22063457031254
1963,1,12,20,270.8790739453125
1963,1,12,21,271.1488586621094
1963,1,12,22,268.0466920605469
1963,1,12,23,268.09757734375
1963,1,13,0,268.2339319140625
1963,1,13,1,268.26000730468746
1963,1,13,2,268.05893623046876
1963,1,13,3,267.73746653320313
1963,1,13,4,267.3134217578125
1963,1,13,5,267.29129354492187
1963,1,13,6,267.2089771484375
1963,1,13,7,266.48984390625
1963,1,13,8,266.62064828125
1963,1,13,9,266.086198828125
1963,1,13,10,265.7114944726563
1963,1,13,11,265.53898234375
1963,1,13,12,265.18258369140625
1963,1,13,13,265.26308368164064
1963,1,13,14,266.2089775292969
1963,1,13,15,266.9559639453125
1963,1,13,16,266.9772717382812
1963,1,13,17,266.56729775390625
1963,1,13,18,266.7933444726562
1963,1,13,19,267.00939912109374
1963,1,13,20,267.7160115429687
1963,1,13,21,267.939713046875
1963,1,13,22,268.1938958886719
1963,1,13,23,268.33263349609376
1963,1,14,0,268.3277877734375
1963,1,14,1,268.49446410156247
1963,1,14,2,269.12134732421873
1963,1,14,3,269.2106566015625
1963,1,14,4,269.29638375
1963,1,14,5,269.612614765625
1963,1,14,6,269.71348938476564
1963,1,14,7,269.7263369433594
1963,1,14,8,269.92188734375
1963,1,14,9,269.75578700195314
1963,1,14,10,269.17821195312496
1963,1,14,11,269.593588984375
1963,1,14,12,269.88151916015624
1963,1,14,13,269.9896155175781
1963,1,14,14,269.92771482421875
1963,1,14,15,270.4239149023437
1963,1,14,16,270.3754877734375
1963,1,14,17,269.749563203125
1963,1,14,18,270.0033758398437
1963,1,14,19,269.2910845117188
1963,1,14,20,269.6999695117188
1963,1,14,21,270.1010346484375
1963,1,14,22,269.4808719921875
1963,1,14,23,269.5873121386719
1963,1,15,0,269.54626765625
1963,1,15,1,269.61130439453126
1963,1,15,2,269.480900234375
1963,1,15,3,269.41998068359374
1963,1,15,4,269.54745087890626
1963,1,15,5,268.9825188085938
1963,1,15,6,267.8279533984375
1963,1,15,7,268.31686736328123
1963,1,15,8,267.5730232421875
1963,1,15,9,267.53391015625004
1963,1,15,10,265.64950916015624
1963,1,15,11,265.4145321386719
1963,1,15,12,265.889456328125
1963,1,15,13,265.52849490234377
1963,1,15,14,266.9334583984375
1963,1,15,15,267.27459609375
1963,1,15,16,267.3762923828125
1963,1,15,17,267.69269958984376
1963,1,15,18,267.33789256835934
1963,1,15,19,267.83473800781246
1963,1,15,20,269.07381188476563
1963,1,15,21,269.0883125976562
1963,1,15,22,270.43429490234377
1963,1,15,23,270.66409404296877
1963,1,16,0,270.45852143554686
1963,1,16,1,270.38226099609375
1963,1,16,2,270.2968039257812
1963,1,16,3,270.2661200488281
1963,1,16,4,270.3672398632812
1963,1,16,5,269.7711074511719
1963,1,16,6,269.9371454589844
1963,1,16,7,269.91271431640627
1963,1,16,8,270.3208722167969
1963,1,16,9,269.7794805664063
1963,1,16,10,269.8103337890625
1963,1,16,11,269.88900187499996
1963,1,16,12,270.082977265625
1963,1,16,13,270.249598984375
1963,1,16,14,270.1590976171875
1963,1,16,15,270.1189372363281
1963,1,16,16,270.01858270507813
1963,1,16,17,269.264215703125
1963,1,16,18,269.4078371289063
1963,1,16,19,269.682466015625
1963,1,16,20,271.2771853515625
1963,1,16,21,271.20261973632813
1963,1,16,22,271.60839168945313
1963,1,16,23,271.52401583984374
1963,1,17,0,271.69166231445314
1963,1,17,1,271.919622578125
1963,1,17,2,271.86342578125
1963,1,17,3,271.9041903613281
1963,1,17,4,272.025724375
1963,1,17,5,272.158122890625
1963,1,17,6,271.90945543945315
1963,1,17,7,271.4039267480469
1963,1,17,8,271.50483501953124
1963,1,17,9,270.7838386523438
1963,1,17,10,269.654661953125
1963,1,17,11,269.64237253906253
1963,1,17,12,269.52271229492186
1963,1,17,13,268.77369552734376
1963,1,17,14,266.76149705078126
1963,1,17,15,265.91503228515626
1963,1,17,16,265.87673086914066
1963,1,17,17,265.12885233398436
1963,1,17,18,264.870269296875
1963,1,17,19,264.8547851269531
1963,1,17,20,266.08955876953127
1963,1,17,21,266.4639618359375
1963,1,17,22,268.59285796874997
1963,1,17,23,268.69572093749997
1963,1,18,0,269.0882668945312
1963,1,18,1,269.13095389648436
1963,1,18,2,268.46148202148436
1963,1,18,3,268.6520933789062
1963,1,18,4,268.9557508789062
1963,1,18,5,268.3715314160156
1963,1,18,6,268.5214031054687
1963,1,18,7,268.81620796875
1963,1,18,8,269.0828914453125
1963,1,18,9,269.1368057910156
1963,1,18,10,269.7425449609375
1963,1,18,11,270.1672398046875
1963,1,18,12,270.02012937499995
1963,1,18,13,270.08808366210934
1963,1,18,14,270.65354035156247
1963,1,18,15,270.2563440136719
1963,1,18,16,270.43790267578123
1963,1,18,17,270.05634384765625
1963,1,18,18,270.03540557617185
1963,1,18,19,270.18886212890624
1963,1,18,20,271.79426376953126
1963,1,18,21,271.4713227636719
1963,1,18,22,271.7654431640625
1963,1,18,23,271.7900540625
1963,1,19,0,273.9506187695313
1963,1,19,1,275.275614453125
1963,1,19,2,274.2213979003906
1963,1,19,3,274.39430531249997
1963,1,19,4,274.12981503906246
1963,1,19,5,274.52367140625
1963,1,19,6,273.9932206640625
1963,1,19,7,274.0429399609375
1963,1,19,8,273.6818647363281
1963,1,19,9,273.56895609375
1963,1,19,10,273.0215729785156
1963,1,19,11,273.09300206054684
1963,1,19,12,273.0064973730469
1963,1,19,13,272.8210844824219
1963,1,19,14,272.79142046875
1963,1,19,15,273.29543474609375
1963,1,19,16,273.43330755859375
1963,1,19,17,273.38489248046875
1963,1,19,18,273.3375195898438
1963,1,19,19,273.3419391796875
1963,1,19,20,273.90675265625
