year,month,day,hour,t2m
1992,1,1,0,299.45503404687497
1992,1,1,1,299.2246797148438
1992,1,1,2,299.007153390625
1992,1,1,3,299.10887795703127
1992,1,1,4,299.1550627421875
1992,1,1,5,299.23869109375
1992,1,1,6,299.2861684023438
1992,1,1,7,299.33579220703126
1992,1,1,8,299.3951515078125
1992,1,1,9,299.25496269531254
1992,1,1,10,298.81938620703124
1992,1,1,11,298.72752608593754
1992,1,1,12,298.8213559589844
1992,1,1,13,299.03677626953123
1992,1,1,14,299.2810796816406
1992,1,1,15,299.4404369296875
1992,1,1,16,299.561364390625
1992,1,1,17,299.57696365625003
1992,1,1,18,299.47182883593746
1992,1,1,19,299.29314738867185
1992,1,1,20,299.058258796875
1992,1,1,21,298.9352170234375
1992,1,1,22,299.4711290585937
1992,1,1,23,299.54336962109375
1992,1,2,0,299.6124083828125
1992,1,2,1,299.6797942578125
1992,1,2,2,299.74436482421874
1992,1,2,3,299.8709762421875
1992,1,2,4,299.92076736328124
1992,1,2,5,300.01305673437497
1992,1,2,6,300.1545790078125
1992,1,2,7,300.23204415234375
1992,1,2,8,300.1930515507812
1992,1,2,9,300.0865355664062
1992,1,2,10,299.79626678515626
1992,1,2,11,299.4275473554688
1992,1,2,12,299.26456659765626
1992,1,2,13,299.23659026171873
1992,1,2,14,299.1665733632812
1992,1,2,15,299.10537999218747
1992,1,2,16,299.12924632421874
1992,1,2,17,299.05043348242185
1992,1,2,18,298.8396374667969
1992,1,2,19,298.4653456445312
1992,1,2,20,298.1749151679688
1992,1,2,21,298.14694894921877
1992,1,2,22,298.7510422265625
1992,1,2,23,299.0194251171875
1992,1,3,0,299.03087497265625
1992,1,3,1,298.7546796640625
1992,1,3,2,298.5838251835937
1992,1,3,3,298.4861086015625
1992,1,3,4,298.48113725390624
1992,1,3,5,298.77315635742184
1992,1,3,6,298.84987744140625
1992,1,3,7,298.62355600390623
1992,1,3,8,298.43357061718746
1992,1,3,9,298.4857534042969
1992,1,3,10,298.88279540234373
1992,1,3,11,299.2169067636719
1992,1,3,12,299.14080707812496
1992,1,3,13,298.8433521171875
1992,1,3,14,298.90618840820315
1992,1,3,15,299.07675253124995
1992,1,3,16,298.5249870625
1992,1,3,17,298.1846553515625
1992,1,3,18,298.3284342167969
1992,1,3,19,298.37159022265627
1992,1,3,20,298.3038631796875
1992,1,3,21,298.73029626953127
1992,1,3,22,299.07390807421876
1992,1,3,23,299.35747824804685
1992,1,4,0,298.96581908398434
1992,1,4,1,298.87045634375
1992,1,4,2,299.43617453125
1992,1,4,3,299.59546231250005
1992,1,4,4,298.849495875
1992,1,4,5,298.71125042187504
1992,1,4,6,299.2617899863281
1992,1,4,7,299.3140089140625
1992,1,4,8,298.54514378515626
1992,1,4,9,298.41269865234375
1992,1,4,10,298.7838995214844
1992,1,4,11,299.0697064882812
1992,1,4,12,299.4830932636719
1992,1,4,13,299.8544210546875
1992,1,4,14,300.03796277734375
1992,1,4,15,299.99308059570313
1992,1,4,16,300.00220102539066
1992,1,4,17,300.1340332695313
1992,1,4,18,300.14385662109373
1992,1,4,19,299.88523861132813
1992,1,4,20,299.32472334179687
1992,1,4,21,298.79161934765625
1992,1,4,22,299.68069812109377
1992,1,4,23,299.8148477578125
1992,1,5,0,299.93509505859373
1992,1,5,1,300.04398583984374
1992,1,5,2,300.16423135546876
1992,1,5,3,300.3056483769531
1992,1,5,4,300.39673500781254
1992,1,5,5,300.43680252539065
1992,1,5,6,300.46178066796875
1992,1,5,7,300.4761902753906
1992,1,5,8,300.44023891015627
1992,1,5,9,300.3285170859375
1992,1,5,10,299.5187968886719
1992,1,5,11,298.98091611718746
1992,1,5,12,298.87249486718747
1992,1,5,13,298.881421171875
1992,1,5,14,298.7814621171875
1992,1,5,15,298.7538579746094
1992,1,5,16,298.7150714335937
1992,1,5,17,298.606286671875
1992,1,5,18,298.5107086777343
1992,1,5,19,299.07839514453127
1992,1,5,20,299.30559382031254
1992,1,5,21,299.438678578125
1992,1,5,22,299.6405023945312
1992,1,5,23,299.340666296875
1992,1,6,0,298.916383171875
1992,1,6,1,298.7717103222656
1992,1,6,2,299.33054301953126
1992,1,6,3,299.3290365976563
1992,1,6,4,299.5951379570313
1992,1,6,5,299.8543049726563
1992,1,6,6,299.9704633320313
1992,1,6,7,300.1392241777344
1992,1,6,8,300.25030614257815
1992,1,6,9,300.3237109277344
1992,1,6,10,300.0448258671875
1992,1,6,11,300.08018885546875
1992,1,6,12,299.92361346484375
1992,1,6,13,299.4943726152344
1992,1,6,14,299.3432754316406
1992,1,6,15,299.02144796874995
1992,1,6,16,298.7691566601562
1992,1,6,17,299.1393914980469
1992,1,6,18,298.86691103515625
1992,1,6,19,298.81240107421877
1992,1,6,20,298.56040741015624
1992,1,6,21,298.1832494785156
1992,1,6,22,299.19116964257813
1992,1,6,23,299.0258841777344
1992,1,7,0,299.45010521484375
1992,1,7,1,299.75027659570316
1992,1,7,2,299.70131147656247
1992,1,7,3,299.50564695898436
1992,1,7,4,299.1000231171875
1992,1,7,5,299.15308296875
1992,1,7,6,299.36796080859375
1992,1,7,7,299.05577131640626
1992,1,7,8,298.698605109375
1992,1,7,9,298.6765951015625
1992,1,7,10,299.1430779882813
1992,1,7,11,299.2604945585938
1992,1,7,12,299.25264705078126
1992,1,7,13,299.38187349609376
1992,1,7,14,299.5304097773438
1992,1,7,15,299.46676589453125
1992,1,7,16,299.52910090039063
1992,1,7,17,299.6489039003906
1992,1,7,18,299.70029259374996
1992,1,7,19,299.722982421875
1992,1,7,20,299.7348931269531
1992,1,7,21,299.75345992187505
1992,1,7,22,299.8767051132812
1992,1,7,23,299.8737099375
1992,1,8,0,299.84565828320314
1992,1,8,1,299.7304700546875
1992,1,8,2,299.6780847675781
1992,1,8,3,299.75272515625005
1992,1,8,4,299.77277044140624
1992,1,8,5,299.94092698046876
1992,1,8,6,300.0744510410156
1992,1,8,7,300.18665925
1992,1,8,8,300.1713264824219
1992,1,8,9,300.05615845703124
1992,1,8,10,299.73090887109373
1992,1,8,11,299.79086177734376
1992,1,8,12,299.71211662890624
1992,1,8,13,299.5701362714844
1992,1,8,14,299.4236268085938
1992,1,8,15,299.37744875
1992,1,8,16,299.51351021289065
1992,1,8,17,299.68007984375004
1992,1,8,18,299.7159314375
1992,1,8,19,299.6922024453125
1992,1,8,20,299.4487423515625
1992,1,8,21,299.20365966015623
1992,1,8,22,298.6973598339844
1992,1,8,23,299.0460128242188
1992,1,9,0,299.3353972578125
1992,1,9,1,299.5086290859375
1992,1,9,2,299.5128079882812
1992,1,9,3,299.5811305175781
1992,1,9,4,299.4345177695313
1992,1,9,5,298.888264140625
1992,1,9,6,298.9612505761719
1992,1,9,7,299.07524084179687
1992,1,9,8,299.2828121816406
1992,1,9,9,299.48252399609373
1992,1,9,10,298.9715995097656
1992,1,9,11,299.2166573046875
1992,1,9,12,299.4340131074219
1992,1,9,13,299.618113953125
1992,1,9,14,299.7305925234375
1992,1,9,15,299.8085251386719
1992,1,9,16,299.8853751328125
1992,1,9,17,299.8417326386719
1992,1,9,18,299.897575453125
1992,1,9,19,299.95219014453124
1992,1,9,20,299.7527802539062
1992,1,9,21,298.70776949804684
1992,1,9,22,298.82766684765625
1992,1,9,23,298.5565951054688
1992,1,10,0,298.37855958593747
1992,1,10,1,298.60059354687496
1992,1,10,2,298.86806594921876
1992,1,10,3,299.1185356367187
1992,1,10,4,299.3250323691406
1992,1,10,5,299.53670549023434
1992,1,10,6,299.75639527734376
1992,1,10,7,299.93103253124997
1992,1,10,8,299.9930795898437
1992,1,10,9,300.0588064921875
1992,1,10,10,300.5941073671875
1992,1,10,11,300.6792549726563
1992,1,10,12,300.6805047382813
1992,1,10,13,300.68820054296873
1992,1,10,14,300.677443671875
1992,1,10,15,300.6738564199219
1992,1,10,16,300.6665991699219
1992,1,10,17,300.6114393125
1992,1,10,18,300.5386702109375
1992,1,10,19,300.3883998632813
1992,1,10,20,300.0813399648437
1992,1,10,21,299.53842659570313
1992,1,10,22,299.9166202050781
1992,1,10,23,299.90013245703125
1992,1,11,0,299.80741313671876
1992,1,11,1,299.73604538867187
1992,1,11,2,299.7260152851562
1992,1,11,3,299.7942518183594
1992,1,11,4,299.8392599238281
