year,month,day,hour,t2m
2015,1,1,0,280.43938703125
2015,1,1,1,280.2995393359375
2015,1,1,2,280.40486908203127
2015,1,1,3,280.4635881054688
2015,1,1,4,280.44127864257814
2015,1,1,5,280.4053403027344
2015,1,1,6,280.41088138671876
2015,1,1,7,280.26716884765625
2015,1,1,8,279.70239294921873
2015,1,1,9,279.2526306445312
2015,1,1,10,279.2046391992187
2015,1,1,11,279.02764764648435
2015,1,1,12,278.9244550195313
2015,1,1,13,278.9136422265625
2015,1,1,14,278.9392754589844
2015,1,1,15,278.9564320117188
2015,1,1,16,278.7976816796875
2015,1,1,17,278.79455472656247
2015,1,1,18,279.221829609375
2015,1,1,19,279.3801147558594
2015,1,1,20,279.278448046875
2015,1,1,21,278.9881379980469
2015,1,1,22,278.42471662109375
2015,1,1,23,278.2242777050782
2015,1,2,0,278.0142322070312
2015,1,2,1,277.9352439160157
2015,1,2,2,277.8790738085938
2015,1,2,3,277.7930267675781
2015,1,2,4,277.7207497949219
2015,1,2,5,277.6278538574219
2015,1,2,6,277.6004337890625
2015,1,2,7,277.5107844433594
2015,1,2,8,277.44187916015625
2015,1,2,9,277.41177128906253
2015,1,2,10,277.8870572265625
2015,1,2,11,277.9399201660156
2015,1,2,12,277.97879382812505
2015,1,2,13,277.9937460839844
2015,1,2,14,278.0074353808594
2015,1,2,15,277.9175847460938
2015,1,2,16,277.6962203808594
2015,1,2,17,277.40042681640625
2015,1,2,18,277.1346394433594
2015,1,2,19,276.87024791015625
2015,1,2,20,276.74170307617186
2015,1,2,21,276.7203904882813
2015,1,2,22,277.11127933593747
2015,1,2,23,276.8324990917969
2015,1,3,0,276.6013110546875
2015,1,3,1,276.2937463867188
2015,1,3,2,276.10299040039064
2015,1,3,3,276.06742419921875
2015,1,3,4,276.05253070312506
2015,1,3,5,276.15734605468754
2015,1,3,6,276.16084587890623
2015,1,3,7,275.9359742089844
2015,1,3,8,275.406588828125
2015,1,3,9,275.3596078710938
2015,1,3,10,275.44004653320314
2015,1,3,11,276.10711552734375
2015,1,3,12,276.6812722460938
2015,1,3,13,276.8858701953125
2015,1,3,14,276.77932623046877
2015,1,3,15,276.32638546875
2015,1,3,16,275.9379488671875
2015,1,3,17,275.6384918652344
2015,1,3,18,275.49230218750006
2015,1,3,19,275.3619281347656
2015,1,3,20,275.2955060351563
2015,1,3,21,275.2997167480469
2015,1,3,22,275.2902309082031
2015,1,3,23,275.3133933007813
2015,1,4,0,275.30151097656255
2015,1,4,1,275.3519474609375
2015,1,4,2,275.54066664062503
2015,1,4,3,275.54369026367186
2015,1,4,4,275.4156809082031
2015,1,4,5,275.2311055957032
2015,1,4,6,275.0269976953125
2015,1,4,7,274.97284328125
2015,1,4,8,275.14853896484374
2015,1,4,9,275.31194794921873
2015,1,4,10,275.37748267578127
2015,1,4,11,275.40541766601564
2015,1,4,12,275.3359986132813
2015,1,4,13,275.3391242382813
2015,1,4,14,275.39842414062497
2015,1,4,15,275.26948454101563
2015,1,4,16,275.2758992871094
2015,1,4,17,275.41662779296877
2015,1,4,18,275.52241478515623
2015,1,4,19,275.51691906250005
2015,1,4,20,275.49110841796875
2015,1,4,21,275.53753266601564
2015,1,4,22,275.45094716796876
2015,1,4,23,275.5102494140625
2015,1,5,0,275.41639076171873
2015,1,5,1,275.19883447265624
2015,1,5,2,274.8214591992188
2015,1,5,3,274.1829915722656
2015,1,5,4,273.66424586914064
2015,1,5,5,273.1800143261719
2015,1,5,6,272.8526307617188
2015,1,5,7,272.60049183593753
2015,1,5,8,272.41248859375
2015,1,5,9,272.15593728515626
2015,1,5,10,272.6625687890625
2015,1,5,11,272.5443859375
2015,1,5,12,272.44568511718757
2015,1,5,13,272.362201953125
2015,1,5,14,272.28864269531255
2015,1,5,15,272.25781478515626
2015,1,5,16,272.2835283300782
2015,1,5,17,272.322822578125
2015,1,5,18,272.33960234375
2015,1,5,19,272.37915738281254
2015,1,5,20,272.44485461914064
2015,1,5,21,272.70176304687504
2015,1,5,22,272.33006676757816
2015,1,5,23,272.53337820312504
2015,1,6,0,272.94747443359375
2015,1,6,1,273.19745423828124
2015,1,6,2,273.44564929687505
2015,1,6,3,273.7162170898438
2015,1,6,4,273.8825104882813
2015,1,6,5,273.90806885742194
2015,1,6,6,273.91894199218757
2015,1,6,7,273.9689468359376
2015,1,6,8,274.0327095605469
2015,1,6,9,274.10025943359375
2015,1,6,10,274.1246055078125
2015,1,6,11,274.22428238281253
2015,1,6,12,274.3183964648438
2015,1,6,13,274.46746667968756
2015,1,6,14,274.59192125
2015,1,6,15,274.93749914062505
2015,1,6,16,275.23557043945317
2015,1,6,17,275.71227251953127
2015,1,6,18,276.1281364257813
2015,1,6,19,276.38087049804693
2015,1,6,20,276.57043172851564
2015,1,6,21,276.74429349609375
2015,1,6,22,276.4641015625
2015,1,6,23,276.6104381933594
2015,1,7,0,276.7304483203125
2015,1,7,1,276.809741171875
2015,1,7,2,276.83306462890624
2015,1,7,3,276.9157690234375
2015,1,7,4,277.01271626953127
2015,1,7,5,277.11811546875003
2015,1,7,6,277.22163137695316
2015,1,7,7,277.21316226562504
2015,1,7,8,277.4045407421875
2015,1,7,9,277.69996588867184
2015,1,7,10,278.02683140625004
2015,1,7,11,278.4179640039062
2015,1,7,12,278.52201525390626
2015,1,7,13,278.4731153320313
2015,1,7,14,278.2664333007813
2015,1,7,15,277.8770299902344
2015,1,7,16,277.3947602636719
2015,1,7,17,276.94957289062506
2015,1,7,18,276.67841511718757
2015,1,7,19,276.5476053125001
2015,1,7,20,276.44096496093755
2015,1,7,21,276.4337318164063
2015,1,7,22,276.592191171875
2015,1,7,23,276.55704786132816
2015,1,8,0,276.59600423828124
2015,1,8,1,276.6695128808594
2015,1,8,2,276.5971448242188
2015,1,8,3,276.429444921875
2015,1,8,4,276.70050085937504
2015,1,8,5,277.141834765625
2015,1,8,6,277.5501458105469
2015,1,8,7,277.84005662109377
2015,1,8,8,277.99243001953124
2015,1,8,9,277.97646072265627
2015,1,8,10,277.343078828125
2015,1,8,11,276.6355478125
2015,1,8,12,276.2596506054688
2015,1,8,13,276.2142937109375
2015,1,8,14,276.47520364257815
2015,1,8,15,276.69638711914064
2015,1,8,16,276.81334137695313
2015,1,8,17,276.796575859375
2015,1,8,18,276.73792873046875
2015,1,8,19,276.70060020507816
2015,1,8,20,276.68114019531254
2015,1,8,21,276.65735929687503
2015,1,8,22,276.6169311328125
2015,1,8,23,276.7082019140625
2015,1,9,0,276.76158349609375
2015,1,9,1,276.8219911132813
2015,1,9,2,276.8515069824219
2015,1,9,3,276.8994646777344
2015,1,9,4,276.9390721484375
2015,1,9,5,276.9421208789062
2015,1,9,6,276.8879449511719
2015,1,9,7,276.756176875
2015,1,9,8,276.6858587109375
2015,1,9,9,276.78200963867187
2015,1,9,10,276.4453524804687
2015,1,9,11,276.46263925781255
2015,1,9,12,276.65406336914066
2015,1,9,13,276.827371328125
2015,1,9,14,276.8759815625
2015,1,9,15,276.9749697070312
2015,1,9,16,277.04704632812496
2015,1,9,17,277.04091197265626
2015,1,9,18,276.99602449218753
2015,1,9,19,276.84622675781253
2015,1,9,20,276.73039484375
2015,1,9,21,276.51824732421875
2015,1,9,22,276.67011539062497
2015,1,9,23,276.55150316406247
2015,1,10,0,276.4398791210937
2015,1,10,1,276.1721359179687
2015,1,10,2,275.9355911328125
2015,1,10,3,275.8158163867188
2015,1,10,4,275.607885
2015,1,10,5,275.4704724121094
2015,1,10,6,275.3293151367187
2015,1,10,7,274.97013456054685
2015,1,10,8,274.3878507324219
2015,1,10,9,273.69599005859374
2015,1,10,10,272.4118956445312
2015,1,10,11,271.72863476562503
2015,1,10,12,271.00265998046876
2015,1,10,13,270.31943160156254
2015,1,10,14,269.75788586914064
2015,1,10,15,269.3008306640625
2015,1,10,16,268.9239026171875
2015,1,10,17,268.588357109375
2015,1,10,18,268.2986381152344
2015,1,10,19,267.9754626757813
2015,1,10,20,267.6264912792969
2015,1,10,21,267.2521242578125
2015,1,10,22,267.2261985839844
2015,1,10,23,266.94887905273436
2015,1,11,0,266.720682421875
2015,1,11,1,266.56543335937505
2015,1,11,2,266.43278948242187
2015,1,11,3,266.26662435546876
2015,1,11,4,266.17083094726564
2015,1,11,5,266.15798783203127
2015,1,11,6,266.1464247851563
2015,1,11,7,266.1775068554688
2015,1,11,8,266.21323165039064
2015,1,11,9,266.23194708984374
2015,1,11,10,266.5553796875
2015,1,11,11,266.4604125
2015,1,11,12,266.3723465820313
2015,1,11,13,266.21878875000004
2015,1,11,14,266.0692599023438
2015,1,11,15,266.03069869140626
2015,1,11,16,266.0064988085938
2015,1,11,17,265.9359396679688
2015,1,11,18,265.9567286523438
2015,1,11,19,265.90706992187506
2015,1,11,20,265.9140813867188
2015,1,11,21,265.95698080078125
2015,1,11,22,266.6328004882813
2015,1,11,23,266.6106180664063
2015,1,12,0,266.667567578125
2015,1,12,1,266.71406372070317
2015,1,12,2,266.70865238281255
2015,1,12,3,266.67777681640626
2015,1,12,4,266.7126701464844
2015,1,12,5,266.7140563476563
2015,1,12,6,266.6318807617188
2015,1,12,7,266.55029464843756
2015,1,12,8,266.44552343750007
2015,1,12,9,266.3543211328126
2015,1,12,10,267.3396706445313
2015,1,12,11,267.16815658203126
2015,1,12,12,266.99339486328125
2015,1,12,13,266.8198124804688
2015,1,12,14,266.6006247070313
2015,1,12,15,266.3714914257813
2015,1,12,16,266.2736791796875
2015,1,12,17,266.1166524511719
2015,1,12,18,265.9480570507813
2015,1,12,19,265.7348406835938
2015,1,12,20,265.4821379882813
2015,1,12,21,265.2680677050782
2015,1,12,22,265.3336070605469
2015,1,12,23,265.14596957031256
2015,1,13,0,265.03487235351565
2015,1,13,1,264.95667726562505
2015,1,13,2,264.89140432617194
2015,1,13,3,264.89425480468753
2015,1,13,4,264.9374899609375
2015,1,13,5,265.09837736328126
